Day,High(°F),Low(°F),Precip.month(inch),Precip.year(inch),Snowmonth(inch),Snowyear(inch),State,Precip.(inch),Snow(inch),Snowdepth(inch)
2 apr,68.2,44.2,0.31,15.91,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 apr,68.5,44.5,0.47,16.06,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 apr,68.7,44.7,0.63,16.22,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 apr,68.9,45,0.79,16.38,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 apr,69.2,45.2,0.94,16.5,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 apr,69.4,45.5,1.1,16.65,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 apr,69.6,45.8,1.26,16.81,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 apr,69.9,46,1.42,17.01,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 apr,70.1,46.3,1.57,17.17,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 apr,70.3,46.5,1.73,17.32,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 apr,70.5,46.8,1.89,17.44,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 apr,70.7,47.1,2.05,17.6,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 apr,71,47.3,2.2,17.76,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 apr,71.2,47.6,2.32,17.91,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 apr,71.4,47.9,2.48,18.03,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 apr,71.6,48.2,2.64,18.19,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 apr,71.8,48.4,2.76,18.31,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 apr,72.1,48.7,2.91,18.46,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 apr,72.3,49,3.07,18.62,0,0.39,Climate Addison - Alabama,NA,NA,NA
21 apr,72.5,49.3,3.23,18.78,0,0.39,Climate Addison - Alabama,NA,NA,NA
22 apr,72.7,49.5,3.39,18.98,0,0.39,Climate Addison - Alabama,NA,NA,NA
23 apr,73,49.8,3.54,19.13,0,0.39,Climate Addison - Alabama,NA,NA,NA
24 apr,73.2,50.1,3.74,19.29,0,0.39,Climate Addison - Alabama,NA,NA,NA
25 apr,73.4,50.4,3.9,19.49,0,0.39,Climate Addison - Alabama,NA,NA,NA
26 apr,73.7,50.7,4.09,19.65,0,0.39,Climate Addison - Alabama,NA,NA,NA
27 apr,73.9,51,4.25,19.84,0,0.39,Climate Addison - Alabama,NA,NA,NA
28 apr,74.2,51.3,4.45,20,0,0.39,Climate Addison - Alabama,NA,NA,NA
29 apr,74.4,51.5,4.61,20.2,0,0.39,Climate Addison - Alabama,NA,NA,NA
30 apr,74.7,51.8,4.76,20.35,0,0.39,Climate Addison - Alabama,NA,NA,NA
1 may,74.9,52.1,0.2,20.51,0,0.39,Climate Addison - Alabama,NA,NA,NA
2 may,75.2,52.4,0.35,20.71,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 may,75.5,52.7,0.55,20.91,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 may,75.7,53,0.75,21.06,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 may,76,53.3,0.91,21.26,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 may,76.3,53.6,1.06,21.42,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 may,76.5,53.9,1.26,21.61,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 may,76.8,54.2,1.42,21.77,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 may,77.1,54.5,1.61,21.97,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 may,77.4,54.8,1.77,22.13,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 may,77.7,55.1,1.93,22.28,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 may,77.9,55.4,2.13,22.48,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 may,78.2,55.7,2.28,22.64,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 may,78.5,56,2.48,22.83,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 may,78.8,56.3,2.68,23.03,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 may,79.1,56.5,2.83,23.19,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 may,79.3,56.8,3.03,23.39,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 may,79.6,57.1,3.23,23.58,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 may,79.9,57.4,3.39,23.74,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 may,80.2,57.7,3.58,23.94,0,0.39,Climate Addison - Alabama,NA,NA,NA
21 may,80.4,58,3.74,24.09,0,0.39,Climate Addison - Alabama,NA,NA,NA
22 may,80.7,58.3,3.9,24.25,0,0.39,Climate Addison - Alabama,NA,NA,NA
23 may,81,58.5,4.06,24.41,0,0.39,Climate Addison - Alabama,NA,NA,NA
24 may,81.2,58.8,4.25,24.61,0,0.39,Climate Addison - Alabama,NA,NA,NA
25 may,81.5,59.1,4.41,24.76,0,0.39,Climate Addison - Alabama,NA,NA,NA
26 may,81.7,59.4,4.61,24.92,0,0.39,Climate Addison - Alabama,NA,NA,NA
27 may,82,59.7,4.76,25.12,0,0.39,Climate Addison - Alabama,NA,NA,NA
28 may,82.2,59.9,4.92,25.28,0,0.39,Climate Addison - Alabama,NA,NA,NA
29 may,82.4,60.2,5.12,25.47,0,0.39,Climate Addison - Alabama,NA,NA,NA
30 may,82.7,60.5,5.31,25.67,0,0.39,Climate Addison - Alabama,NA,NA,NA
31 may,82.9,60.7,5.47,25.83,0,0.39,Climate Addison - Alabama,NA,NA,NA
1 jun,83.1,61,0.16,25.98,0,0.39,Climate Addison - Alabama,NA,NA,NA
2 jun,83.3,61.3,0.31,26.14,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 jun,83.5,61.5,0.51,26.34,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 jun,83.7,61.8,0.67,26.5,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 jun,83.9,62,0.83,26.65,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 jun,84.1,62.3,1.02,26.85,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 jun,84.3,62.5,1.18,27.01,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 jun,84.4,62.8,1.38,27.2,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 jun,84.6,63,1.54,27.36,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 jun,84.8,63.2,1.69,27.52,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 jun,84.9,63.5,1.89,27.72,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 jun,85.1,63.7,2.05,27.87,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 jun,85.2,63.9,2.2,28.03,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 jun,85.4,64.1,2.36,28.23,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 jun,85.5,64.4,2.56,28.39,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 jun,85.6,64.6,2.72,28.54,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 jun,85.8,64.8,2.87,28.7,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 jun,85.9,65,3.03,28.86,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 jun,86,65.2,3.19,29.02,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 jun,86.1,65.4,3.35,29.17,0,0.39,Climate Addison - Alabama,NA,NA,NA
21 jun,86.2,65.6,3.46,29.29,0,0.39,Climate Addison - Alabama,NA,NA,NA
22 jun,86.3,65.7,3.62,29.45,0,0.39,Climate Addison - Alabama,NA,NA,NA
23 jun,86.4,65.9,3.78,29.61,0,0.39,Climate Addison - Alabama,NA,NA,NA
24 jun,86.5,66.1,3.9,29.72,0,0.39,Climate Addison - Alabama,NA,NA,NA
25 jun,86.7,66.3,4.06,29.88,0,0.39,Climate Addison - Alabama,NA,NA,NA
26 jun,86.8,66.4,4.21,30.04,0,0.39,Climate Addison - Alabama,NA,NA,NA
27 jun,86.9,66.6,4.33,30.2,0,0.39,Climate Addison - Alabama,NA,NA,NA
28 jun,86.9,66.7,4.53,30.35,0,0.39,Climate Addison - Alabama,NA,NA,NA
29 jun,87,66.9,4.65,30.47,0,0.39,Climate Addison - Alabama,NA,NA,NA
30 jun,87.1,67,4.84,30.67,0,0.39,Climate Addison - Alabama,NA,NA,NA
1 jul,87.2,67.1,0.2,30.83,0,0.39,Climate Addison - Alabama,NA,NA,NA
2 jul,87.3,67.3,0.35,31.02,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 jul,87.4,67.4,0.55,31.18,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 jul,87.5,67.5,0.71,31.38,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 jul,87.6,67.6,0.91,31.54,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 jul,87.7,67.7,1.06,31.73,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 jul,87.8,67.8,1.22,31.89,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 jul,87.9,67.9,1.42,32.05,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 jul,88,68,1.57,32.24,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 jul,88.1,68,1.73,32.4,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 jul,88.2,68.1,1.89,32.56,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 jul,88.3,68.2,2.05,32.72,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 jul,88.4,68.2,2.2,32.87,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 jul,88.4,68.3,2.36,33.03,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 jul,88.5,68.3,2.52,33.19,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 jul,88.6,68.3,2.68,33.35,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 jul,88.7,68.4,2.83,33.5,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 jul,88.8,68.4,2.99,33.66,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 jul,88.9,68.4,3.15,33.82,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 jul,89,68.4,3.31,33.98,0,0.39,Climate Addison - Alabama,NA,NA,NA
21 jul,89.1,68.4,3.46,34.13,0,0.39,Climate Addison - Alabama,NA,NA,NA
22 jul,89.2,68.4,3.62,34.29,0,0.39,Climate Addison - Alabama,NA,NA,NA
23 jul,89.2,68.4,3.78,34.45,0,0.39,Climate Addison - Alabama,NA,NA,NA
24 jul,89.3,68.4,3.94,34.57,0,0.39,Climate Addison - Alabama,NA,NA,NA
25 jul,89.4,68.4,4.06,34.72,0,0.39,Climate Addison - Alabama,NA,NA,NA
26 jul,89.5,68.4,4.21,34.88,0,0.39,Climate Addison - Alabama,NA,NA,NA
27 jul,89.6,68.4,4.33,35,0,0.39,Climate Addison - Alabama,NA,NA,NA
28 jul,89.6,68.3,4.49,35.16,0,0.39,Climate Addison - Alabama,NA,NA,NA
29 jul,89.7,68.3,4.61,35.28,0,0.39,Climate Addison - Alabama,NA,NA,NA
30 jul,89.8,68.3,4.72,35.35,0,0.39,Climate Addison - Alabama,NA,NA,NA
31 jul,89.8,68.3,4.84,35.47,0,0.39,Climate Addison - Alabama,NA,NA,NA
1 aug,89.9,68.2,0.12,35.59,0,0.39,Climate Addison - Alabama,NA,NA,NA
2 aug,89.9,68.2,0.24,35.71,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 aug,90,68.1,0.31,35.83,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 aug,90,68.1,0.43,35.94,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 aug,90,68.1,0.59,36.06,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 aug,90.1,68,0.71,36.18,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 aug,90.1,68,0.83,36.34,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 aug,90.1,67.9,0.94,36.46,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 aug,90.1,67.8,1.06,36.57,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 aug,90.1,67.8,1.18,36.69,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 aug,90.1,67.7,1.3,36.81,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 aug,90,67.6,1.42,36.93,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 aug,90,67.6,1.54,37.01,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 aug,90,67.5,1.65,37.13,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 aug,89.9,67.4,1.77,37.24,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 aug,89.9,67.3,1.89,37.36,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 aug,89.8,67.2,2.01,37.48,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 aug,89.7,67.1,2.13,37.6,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 aug,89.6,67,2.24,37.72,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 aug,89.6,66.9,2.36,37.83,0,0.39,Climate Addison - Alabama,NA,NA,NA
21 aug,89.4,66.8,2.48,37.99,0,0.39,Climate Addison - Alabama,NA,NA,NA
22 aug,89.3,66.7,2.64,38.11,0,0.39,Climate Addison - Alabama,NA,NA,NA
23 aug,89.2,66.5,2.76,38.23,0,0.39,Climate Addison - Alabama,NA,NA,NA
24 aug,89.1,66.4,2.87,38.35,0,0.39,Climate Addison - Alabama,NA,NA,NA
25 aug,88.9,66.3,2.99,38.46,0,0.39,Climate Addison - Alabama,NA,NA,NA
26 aug,88.8,66.1,3.11,38.62,0,0.39,Climate Addison - Alabama,NA,NA,NA
27 aug,88.6,65.9,3.23,38.74,0,0.39,Climate Addison - Alabama,NA,NA,NA
28 aug,88.4,65.8,3.39,38.86,0,0.39,Climate Addison - Alabama,NA,NA,NA
29 aug,88.2,65.6,3.5,38.98,0,0.39,Climate Addison - Alabama,NA,NA,NA
30 aug,88,65.4,3.62,39.09,0,0.39,Climate Addison - Alabama,NA,NA,NA
31 aug,87.8,65.2,3.74,39.25,0,0.39,Climate Addison - Alabama,NA,NA,NA
1 sep,87.6,65,0.12,39.37,0,0.39,Climate Addison - Alabama,NA,NA,NA
2 sep,87.3,64.8,0.24,39.49,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 sep,87.1,64.5,0.39,39.61,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 sep,86.8,64.3,0.51,39.76,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 sep,86.6,64,0.63,39.88,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 sep,86.3,63.8,0.75,40,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 sep,86,63.5,0.91,40.12,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 sep,85.7,63.2,1.02,40.28,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 sep,85.4,62.9,1.14,40.39,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 sep,85.1,62.6,1.3,40.55,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 sep,84.8,62.2,1.46,40.71,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 sep,84.5,61.9,1.61,40.87,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 sep,84.2,61.6,1.77,41.02,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 sep,83.9,61.2,1.93,41.18,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 sep,83.5,60.8,2.09,41.34,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 sep,83.2,60.5,2.24,41.46,0,0.39,Climate Addison - Alabama,NA,NA,NA
17 sep,82.8,60.1,2.4,41.61,0,0.39,Climate Addison - Alabama,NA,NA,NA
18 sep,82.5,59.7,2.56,41.77,0,0.39,Climate Addison - Alabama,NA,NA,NA
19 sep,82.2,59.3,2.68,41.93,0,0.39,Climate Addison - Alabama,NA,NA,NA
20 sep,81.8,58.9,2.83,42.05,0,0.39,Climate Addison - Alabama,NA,NA,NA
21 sep,81.4,58.4,2.95,42.2,0,0.39,Climate Addison - Alabama,NA,NA,NA
22 sep,81.1,58,3.11,42.36,0,0.39,Climate Addison - Alabama,NA,NA,NA
23 sep,80.7,57.6,3.27,42.52,0,0.39,Climate Addison - Alabama,NA,NA,NA
24 sep,80.4,57.1,3.43,42.64,0,0.39,Climate Addison - Alabama,NA,NA,NA
25 sep,80,56.7,3.54,42.8,0,0.39,Climate Addison - Alabama,NA,NA,NA
26 sep,79.7,56.2,3.7,42.95,0,0.39,Climate Addison - Alabama,NA,NA,NA
27 sep,79.3,55.8,3.86,43.07,0,0.39,Climate Addison - Alabama,NA,NA,NA
28 sep,79,55.3,3.98,43.23,0,0.39,Climate Addison - Alabama,NA,NA,NA
29 sep,78.6,54.9,4.13,43.35,0,0.39,Climate Addison - Alabama,NA,NA,NA
30 sep,78.3,54.4,4.25,43.5,0,0.39,Climate Addison - Alabama,NA,NA,NA
1 oct,77.9,54,0.16,43.66,0,0.39,Climate Addison - Alabama,NA,NA,NA
2 oct,77.6,53.5,0.28,43.82,0,0.39,Climate Addison - Alabama,NA,NA,NA
3 oct,77.3,53.1,0.43,43.94,0,0.39,Climate Addison - Alabama,NA,NA,NA
4 oct,76.9,52.6,0.55,44.06,0,0.39,Climate Addison - Alabama,NA,NA,NA
5 oct,76.6,52.2,0.71,44.21,0,0.39,Climate Addison - Alabama,NA,NA,NA
6 oct,76.3,51.7,0.83,44.33,0,0.39,Climate Addison - Alabama,NA,NA,NA
7 oct,76,51.3,0.94,44.45,0,0.39,Climate Addison - Alabama,NA,NA,NA
8 oct,75.6,50.9,1.06,44.57,0,0.39,Climate Addison - Alabama,NA,NA,NA
9 oct,75.3,50.4,1.18,44.69,0,0.39,Climate Addison - Alabama,NA,NA,NA
10 oct,75,50,1.3,44.8,0,0.39,Climate Addison - Alabama,NA,NA,NA
11 oct,74.7,49.6,1.42,44.92,0,0.39,Climate Addison - Alabama,NA,NA,NA
12 oct,74.4,49.2,1.54,45.04,0,0.39,Climate Addison - Alabama,NA,NA,NA
13 oct,74.1,48.8,1.61,45.16,0,0.39,Climate Addison - Alabama,NA,NA,NA
14 oct,73.8,48.4,1.73,45.24,0,0.39,Climate Addison - Alabama,NA,NA,NA
15 oct,73.5,48,1.85,45.35,0,0.39,Climate Addison - Alabama,NA,NA,NA
16 oct,73.2,47.7,1.97,45.47,0,0.39,Climate Addison - Alabama,NA,NA,NA
